2026-01-19 10:16:24,437 | DEBUG | selenium.webdriver.remote.remote_connection | GET http://127.0.0.1:55918/session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.328/text {"id": "f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.328"}
2026-01-19 10:16:24,442 | DEBUG | urllib3.connectionpool | http://127.0.0.1:55918 "GET /session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.328/text HTTP/1.1" 200 15
2026-01-19 10:16:24,443 | DEBUG | selenium.webdriver.remote.remote_connection | Finished Request
2026-01-19 10:16:24,443 | DEBUG | selenium.webdriver.remote.remote_connection | POST http://127.0.0.1:55918/session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.77/element {"using": "css selector", "value": ".ipc-signpost__text", "id": "f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.77"}
2026-01-19 10:16:24,451 | DEBUG | urllib3.connectionpool | http://127.0.0.1:55918 "POST /session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.77/element HTTP/1.1" 200 127
2026-01-19 10:16:24,451 | DEBUG | selenium.webdriver.remote.remote_connection | Finished Request
2026-01-19 10:16:24,451 | DEBUG | selenium.webdriver.remote.remote_connection | GET http://127.0.0.1:55918/session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.329/text {"id": "f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.329"}
2026-01-19 10:16:24,456 | DEBUG | urllib3.connectionpool | http://127.0.0.1:55918 "GET /session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.329/text HTTP/1.1" 200 14
2026-01-19 10:16:24,456 | DEBUG | selenium.webdriver.remote.remote_connection | Finished Request
2026-01-19 10:16:24,457 | DEBUG | selenium.webdriver.remote.remote_connection | POST http://127.0.0.1:55918/session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.78/element {"using": "css selector", "value": ".ipc-title__text", "id": "f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.78"}
